city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Cayenne,75,GF,1538152200,59,4.94,-52.33,91.4,12.75
Cherskiy,44,RU,1538154135,95,68.75,161.3,26.84,2.68
Punta Arenas,0,CL,1538150400,100,-53.16,-70.91,48.2,11.41
Vardo,75,NO,1538149800,86,70.37,31.11,33.8,8.05
Bredasdorp,8,ZA,1538150400,55,-34.53,20.04,60.8,20.8
Uray,64,RU,1538154137,90,60.13,64.8,42.32,8.28
Atuona,48,PF,1538154138,100,-9.8,-139.03,79.13,12.19
Noshiro,56,JP,1538154138,100,40.21,140.05,63.65,5.37
Georgetown,12,SH,1538153978,100,-7.93,-14.42,75.08,17.67
Beringovskiy,92,RU,1538154138,100,63.05,179.32,44.3,21.81
Nikolskoye,0,RU,1538152200,48,59.7,30.79,44.6,17.9
Machilipatnam,20,IN,1538152200,94,16.18,81.14,80.6,4.59
Westport,100,NZ,1538154139,100,-41.75,171.6,42.86,0.45
Marystown,92,CA,1538154139,96,47.17,-55.16,54.11,18.79
Port Alfred,0,ZA,1538154124,79,-33.59,26.89,65.27,20.92
Suphan Buri,56,TH,1538154140,96,14.47,100.12,75.35,2.57
Grindavik,75,IS,1538152200,81,63.84,-22.43,46.4,29.97
Kargil,36,IN,1538154140,77,34.57,76.1,25.85,1.57
Kodiak,90,US,1538149980,53,39.95,-94.76,60.08,18.34
Busselton,56,AU,1538153739,100,-33.64,115.35,59.06,21.7
Severo-Kurilsk,68,RU,1538154141,100,50.68,156.12,44.75,8.39
Ketchikan,40,US,1538150160,89,55.34,-131.65,55.04,21.92
Los Llanos de Aridane,40,ES,1538152200,69,28.66,-17.92,77.0,14.99
Qaanaaq,24,GL,1538154142,100,77.48,-69.36,16.85,4.14
Necochea,88,AR,1538154142,77,-38.55,-58.74,64.55,21.47
Tessalit,12,ML,1538154142,17,20.2,1.01,92.18,4.81
Phibun Mangsahan,40,TH,1538150400,94,15.24,105.23,80.6,2.24
Novikovo,0,RU,1538154143,80,51.15,37.89,54.38,12.08
Manoel Urbano,56,BR,1538154143,71,-8.84,-69.26,86.51,3.02
Rikitea,24,PF,1538153976,100,-23.12,-134.97,72.02,2.24
Bambous Virieux,40,MU,1538150400,69,-20.34,57.76,73.4,13.87
Kulunda,32,RU,1538154144,65,52.57,78.94,57.98,12.75
Hithadhoo,92,MV,1538153982,100,-0.6,73.08,81.65,22.15
Upernavik,76,GL,1538154144,100,72.79,-56.15,33.68,11.97
Ushuaia,75,AR,1538150400,39,-54.81,-68.31,48.2,13.87
Zalantun,80,CN,1538154144,95,48.0,122.72,49.7,5.14
Sao Felix do Xingu,24,BR,1538153863,69,-6.64,-51.99,86.78,2.35
Bay City,90,US,1538152500,81,43.59,-83.89,58.64,4.7
Clyde River,90,CA,1538150400,86,70.47,-68.59,26.6,9.17
Gemena,80,CD,1538154145,91,3.25,19.78,74.27,2.13
Hermanus,24,ZA,1538153736,70,-34.42,19.24,53.75,6.15
Arraial do Cabo,75,BR,1538150400,78,-22.97,-42.02,78.8,9.17
Gusau,8,NG,1538154145,75,12.17,6.66,79.76,3.91
Oistins,40,BB,1538150400,83,13.07,-59.53,82.4,19.46
Mahebourg,40,MU,1538150400,69,-20.41,57.7,73.4,13.87
Hilo,1,US,1538150160,87,19.71,-155.08,71.96,4.7
Cape Town,0,ZA,1538153893,93,-33.93,18.42,58.7,9.95
Avarua,40,CK,1538150400,68,-21.21,-159.78,71.6,2.24
Kapaa,90,US,1538150160,96,22.08,-159.32,75.92,10.29
Kalaleh,0,IR,1538153902,86,37.38,55.49,63.47,3.36
Tholey,75,DE,1538153400,71,49.48,7.03,57.2,12.75
Nome,90,US,1538151300,76,30.04,-94.42,78.98,6.93
Chilca,40,PE,1538152200,22,-13.22,-72.34,68.0,6.93
Flinders,40,AU,1538150400,87,-34.58,150.85,51.8,6.93
Leningradskiy,24,RU,1538154146,96,69.38,178.42,39.8,24.49
Provideniya,92,RU,1538154146,94,64.42,-173.23,45.92,34.34
Vaini,75,TO,1538150400,83,-21.2,-175.2,73.4,5.82
Fortuna,90,US,1538152500,100,40.6,-124.16,51.98,3.91
Hegang,48,CN,1538154147,86,47.34,130.28,39.26,1.9
Ilulissat,75,GL,1538153400,59,69.22,-51.1,37.4,5.82
New Norfolk,0,AU,1538152200,89,-42.78,147.06,39.2,12.75
Zhigalovo,24,RU,1538154147,98,54.81,105.15,34.76,2.24
Thompson,75,CA,1538150400,63,55.74,-97.86,30.2,8.05
Hovd,12,MN,1538154148,78,48.01,91.64,37.1,2.57
Lebu,88,CL,1538154148,98,-37.62,-73.65,53.21,17.9
Pevek,64,RU,1538154148,93,69.7,170.27,42.32,15.21
Chuy,92,UY,1538154148,95,-33.69,-53.46,63.56,21.03
Hobart,0,AU,1538152200,77,-42.88,147.33,39.2,12.75
Albany,12,AU,1538153982,78,-35.02,117.88,49.88,11.63
Marawi,0,SD,1538154148,18,18.48,31.82,90.2,6.82
Port Augusta,40,AU,1538150400,57,-32.49,137.76,51.8,12.75
Kaitangata,0,NZ,1538154149,73,-46.28,169.85,35.03,9.62
Chokurdakh,24,RU,1538153783,96,70.62,147.9,29.54,11.3
Torbay,90,CA,1538152200,87,47.66,-52.73,55.4,6.93
Walvis Bay,0,NA,1538150400,46,-22.95,14.51,71.6,9.17
Mount Gambier,88,AU,1538154149,61,-37.83,140.78,46.46,4.7
Kinlochleven,20,GB,1538151600,66,56.71,-4.97,51.8,14.99
Bodden Town,20,KY,1538150400,70,19.28,-81.25,89.6,11.41
Castro,80,CL,1538154149,98,-42.48,-73.76,51.32,8.5
Ancud,92,CL,1538154150,95,-41.87,-73.83,52.31,8.84
Lahad Datu,8,MY,1538154150,100,5.02,118.33,74.9,2.01
Port Elizabeth,20,ZA,1538151840,63,-33.92,25.57,60.8,21.92
Umba,80,RU,1538154150,100,66.69,34.34,41.42,15.1
Mbini,40,GQ,1538150400,83,1.58,9.62,82.4,4.7
Geraldton,0,AU,1538152200,55,-28.77,114.6,64.4,11.41
