city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Avarua,90,CK,1540432800,69,-21.21,-159.78,77.0,13.87
Galbshtadt,0,RU,1540435510,68,53.23,78.98,32.54,10.25
Tuktoyaktuk,20,CA,1540432800,92,69.44,-133.03,24.8,9.17
Kapaa,75,US,1540432800,74,22.08,-159.32,86.0,14.99
Rikitea,80,PF,1540435510,100,-23.12,-134.97,70.97,14.5
Palmer,1,US,1540432560,65,61.6,-149.11,46.4,5.82
Atuona,44,PF,1540435510,100,-9.8,-139.03,80.56,16.51
Yellowknife,20,CA,1540432800,86,62.45,-114.38,30.2,13.87
Sangmelima,80,CM,1540435511,98,2.93,11.98,70.34,2.42
Los Llanos de Aridane,40,ES,1540434600,68,28.66,-17.92,69.8,5.82
Vaini,75,TO,1540432800,65,-21.2,-175.2,78.8,11.41
Thompson,40,CA,1540432800,86,55.74,-97.86,30.2,9.17
Jimenez,40,MX,1540431660,77,28.33,-105.4,64.4,6.93
Tiksi,88,RU,1540435512,83,71.64,128.87,11.3,11.59
Khatanga,8,RU,1540435512,54,71.98,102.47,-4.82,2.98
Traverse City,1,US,1540433700,100,44.76,-85.62,32.0,5.44
Linhai,12,CN,1540435512,68,28.86,121.14,72.72,4.21
Butaritari,12,KI,1540435512,100,3.07,172.79,84.47,6.22
Punta Arenas,20,CL,1540432800,81,-53.16,-70.91,42.8,11.41
Juegang,48,CN,1540435513,77,32.31,121.18,68.81,14.27
Dolores,68,AR,1540435513,92,-36.31,-57.68,52.07,3.2
Bossier City,90,US,1540433700,93,32.52,-93.73,60.8,4.7
Tekeli,0,KZ,1540435513,45,44.86,78.76,39.25,4.43
Clyde River,90,CA,1540434240,92,70.47,-68.59,17.6,23.04
Port Augusta,12,AU,1540432800,52,-32.49,137.76,69.8,12.75
Iqaluit,75,CA,1540432800,85,63.75,-68.52,23.0,11.41
Hermanus,0,ZA,1540435514,75,-34.42,19.24,60.4,2.64
Maniitsoq,88,GL,1540435514,100,65.42,-52.9,18.14,7.56
Prince Rupert,90,CA,1540435080,58,54.32,-130.32,55.4,20.8
Ribeira Grande,36,PT,1540435514,100,38.52,-28.7,68.0,14.5
Puerto Quijarro,68,BO,1540435514,97,-19.0,-57.72,71.82,2.3
Bani,44,DO,1540435514,100,18.28,-70.33,80.56,8.68
Port Elizabeth,20,ZA,1540435515,92,-33.92,25.57,68.81,10.25
Kruisfontein,36,ZA,1540435515,86,-34.0,24.73,60.17,1.97
Cape Town,0,ZA,1540435515,89,-33.93,18.42,63.14,4.32
Ucar,0,AZ,1540435515,87,40.51,47.65,49.6,3.09
Lompoc,20,US,1540434780,93,34.64,-120.46,62.6,11.25
Amga,92,RU,1540435515,71,60.89,131.98,22.06,4.99
Aripuana,24,BR,1540435516,91,-9.17,-60.63,79.47,1.86
Saint-Philippe,40,RE,1540432800,68,-21.36,55.77,68.0,6.93
Jamestown,92,SH,1540435516,100,-15.94,-5.72,67.1,14.38
Hilo,40,US,1540432560,74,19.71,-155.08,80.6,8.05
Ipameri,20,BR,1540435516,93,-17.72,-48.16,68.22,4.21
Miandrivazo,0,MG,1540435516,85,-19.53,45.46,58.01,2.64
Flin Flon,0,CA,1540435516,89,54.77,-101.88,37.49,9.01
Dikson,64,RU,1540435516,100,73.51,80.55,23.5,14.72
Constitucion,8,CL,1540435517,96,-35.33,-72.42,51.71,9.69
Busselton,0,AU,1540435517,87,-33.64,115.35,67.5,12.03
Villanueva,20,CO,1540432800,83,10.44,-75.27,82.4,3.36
Tres Picos,40,MX,1540431720,78,16.23,-93.58,77.0,5.82
Portland,24,AU,1540435517,61,-33.35,149.98,67.77,3.09
Tuatapere,68,NZ,1540435517,100,-46.13,167.69,47.21,9.69
Upernavik,44,GL,1540435518,100,72.79,-56.15,18.1,11.36
Komsomolskiy,88,RU,1540435518,96,67.55,63.78,29.3,12.82
Chuy,92,UY,1540435518,90,-33.69,-53.46,59.94,13.49
Aliwal North,0,ZA,1540435518,79,-30.69,26.71,43.47,2.64
Colesberg,0,ZA,1540435518,42,-30.72,25.1,43.7,2.64
Ushuaia,40,AR,1540432800,75,-54.81,-68.31,41.0,5.82
Sumbe,92,AO,1540435518,100,-11.2,13.84,73.35,3.76
Whyalla,12,AU,1540432800,52,-33.04,137.58,69.8,12.75
Norman Wells,20,CA,1540432800,80,65.28,-126.83,33.8,5.82
Migori,68,KE,1540435519,77,-1.07,34.47,69.85,9.01
Mahebourg,40,MU,1540432800,82,-20.41,57.7,68.0,2.24
Alice Springs,0,AU,1540432800,5,-23.7,133.88,100.4,17.22
Touros,92,BR,1540435519,88,-5.2,-35.46,77.94,13.82
Tasiilaq,0,GL,1540432200,53,65.61,-37.64,24.8,5.82
Xinye,80,CN,1540435519,91,32.53,112.36,66.29,7.67
Grand Gaube,40,MU,1540432800,82,-20.01,57.66,68.0,2.24
Bredasdorp,12,ZA,1540435520,92,-34.53,20.04,63.55,3.2
Beloha,0,MG,1540435520,82,-25.17,45.06,63.68,11.48
Puerto Ayora,0,EC,1540435520,100,-0.74,-90.35,69.8,12.03
East London,0,ZA,1540435520,99,-33.02,27.91,70.61,1.97
Nata,48,BW,1540435520,51,-20.21,26.19,60.26,10.36
Hay River,75,CA,1540432800,69,60.82,-115.79,39.2,10.29
Sinnamary,0,GF,1540435521,96,5.38,-52.96,80.6,13.04
Waddan,88,LY,1540435521,80,29.16,16.14,63.55,12.82
Korla,0,CN,1540435434,48,41.76,86.15,39.38,4.65
Coseiu,48,RO,1540434600,74,47.32,22.98,41.0,9.17
Albany,0,AU,1540435351,61,-35.02,117.88,69.31,12.93
Lae,40,PG,1540432800,66,-6.72,146.98,84.2,5.82
Soissons,0,FR,1540435522,85,49.38,3.32,39.56,4.54
Leningradskiy,80,RU,1540435522,100,69.38,178.42,29.93,21.77
Port Alfred,0,ZA,1540435522,91,-33.59,26.89,64.67,6.55
Nikolskoye,75,RU,1540432800,86,59.7,30.79,37.4,6.71
Hobart,75,AU,1540434600,38,-42.88,147.33,60.8,8.05
Kodiak,1,US,1540432380,54,39.95,-94.76,53.6,4.7
